id;area;nomor;alamat;koordinat
283;61.71.01.1006;46;JL. PROF.M.YAMIN GG. URAY HAMID NO. 40;-0.05105556, 109.31833333
284;61.71.01.1006;47;JL. PROF. M. YAMIN GG. BARU NO. 32;-0.05086111, 109.31927778
285;61.71.01.1006;48;JL.PROF.M.YAMIN GG.PEMANGKAT I;-0.05102778, 109.31819444
286;61.71.01.1006;49;JL. TANI MAKMUR GG. PEMANGKAT DALAM II NO. 99;-0.05155556, 109.31813889
287;61.71.01.1006;50;JL. M. YAMIN GG. PEMANGKAT II NO. 48;-0.05072222, 109.31713889
288;61.71.01.1006;51;JL. KARNA SOSIAL NO. 03;-0.05227778, 109.32041667
289;61.71.01.1006;52;JL. PERINTIS GG. REMAJA II NO. 27;-0.05347222, 109.321
290;61.71.01.1006;53;JL. PERINTIS GG. MADYOSARI;-0.05530556, 109.32122222
291;61.71.01.1006;54;JL. WONO BARU GG. MADYOSARI III;-0.05688889, 109.32352778
292;61.71.01.1006;55;JL. PERINTIS GG. PERINTIS I;-0.07069444, 109.29533333
293;61.71.01.1006;56;JL. WONOBARU GG. MADYOSARI II NO. 35 B;-0.05527778, 109.32227778
294;61.71.01.1006;57;JL PERINTIS NO 19;-0.05477778, 109.32594444
295;61.71.02.1001;1;JL. NUSA KARYA, NO.78 KEDIAMAN BAPAK BUJANG;-0.056708 , 109.370971
296;61.71.02.1001;2;JL. MAYORITAS, KEDIAMAN BAPAK HERMANSYAH RUSNAN;-0.057468 , 109.370259
297;61.71.02.1001;3;JL. MAYORITAS, KEDIAMAN IBU APRIANA;-0.056023 , 109.369501
298;61.71.02.1001;4;JL. MAYORITAS;-0.056157 , 109.369891
299;61.71.02.1001;5;JL. NUSA KARYA, KEDIAMAN BAPAK ARIFIN;-0.055769 , 109.372702
300;61.71.02.1001;6;JL. TANJUNG RAYA 2, GG. NUSA ABADI, KEDIAMAN BAPAK SALMAN;-0.053207 , 109.372150
301;61.71.02.1001;7;JL. TANJUNG RAYA 2, RUKO TOKO SEPATU BANDUNG COLLECTION;-0.053978 , 109.373174
302;61.71.02.1001;8;JL. TJ RAYA 2, GG. NUSAPATI / NUSA RIA;-0.0548789 , 109.373169
303;61.71.02.1001;9;JL. TANJUNG RAYA 2, RUKO LAUNDRY MINIMALIS;-0.055814 , 109.374450
304;61.71.02.1001;10;JL. TANJUUNG RAYA 2, GG. GUSTI YUNUS NO.A13;-0.057641 , 109.374194
305;61.71.02.1001;11;KOMP. PESONA PARMA;-0.0554562 , 109.37812
306;61.71.02.1001;12;JL. MAYORITAS, GG. ANUGRAH;-0.0580430 , 109.3748118
307;61.71.02.1001;13;GG. RAHMA / KOMP. NADISKA;-0.0593341 , 109.3747445
308;61.71.02.1001;14;JL. H. RAIS, LAPANGAN PKBM;-0.060495 , 109.375366
309;61.71.02.1001;15;PERUMAHAN AL MUTAHAR CERIA;-0.0586784 , 109.3754972
310;61.71.02.1001;16;KOMPLEK PERMATA KAPUAS 2, LAPANGAN BULUTANGKIS;-0.056455 , 109.378730
311;61.71.02.1001;17;GG. AMPERA;0.054532 , 109.373728
312;61.71.02.1001;18;JL. TANJNG RAYA 2, WARUNG GEPREK UMMI;-0.059113 , 109.376985
313;61.71.02.1001;19;JL. TANJUNG RAYA 2, GG. SUKA DO'A;-0.052978 , 109.375039
314;61.71.02.1001;20;JL. TANJUNG RAYA 2, GG. TRI SAKTI (RUMAH BONEKA);-0.054532 , 109.373728
315;61.71.02.1001;21;JL. TANJUNG RAYA 2, KOMPLEK RUKO GLOBAL TOWN SQUERE;-0.055635 , 109.374429
316;61.71.02.1001;22;JL. TANJUNG RAYA 2, JL. H. KADIR;-0.0555718 , 109.376971
317;61.71.02.1001;23;JL. PEMDA, KOMPLEK VILLA SEJAHTERA;-0.0490315 , 109.377791
318;61.71.02.1001;24;JL. AMANAH, KOMPLEK SBR 3 (FASUM);-0.0495598 , 109.37916
319;61.71.02.1001;25;JL. PADAT KARYA, KOMPLEK ZAUJATI RESIDENCE 1;-0.047370 , 109.38333
320;61.71.02.1001;26;JL. PADAT KARYA, KOMPLEK SBR 6, KEDIAMAN PAK ROHMAT;-0.04609358 , 109.382395
321;61.71.02.1001;27;JL. PADAT KARYA, RUMAH PAS USMAN;-0.045582 , 109.382192
322;61.71.02.1001;28;JL. PEMDA, KOMPLEK GRIYA MAYOR 2;-0.051549 , 109.383231
323;61.71.02.1001;29;JL. PEMDA, KOMPLEK ARWANA INDAH;-0.0526573 , 109.382760
324;61.71.02.1001;30;JL. PADAT KARYA, KOMPLEK DAILY PERDANA RESIDENCE BLOK D NO.5;-0.0509885 , 109.383522
325;61.71.02.1002;1;JL. TANJUNG HARAPANG GG. KEJORA;-0.037841 , 109.354740
326;61.71.02.1002;2;JL. TANJUNG HARAPANG GG. KARYA 1;-0.038302 , 109.355971
327;61.71.02.1002;3;JL. TANJUNG HARAPAN HALAMAN SD N 23;-0.038529 , 109.355842
328;61.71.02.1002;4;JL. TJ. HARAPAN GG. KALIMANTAN;-0.039218 , 109.355942
329;61.71.02.1002;5;JL. TJ. HARAPAN RT 002 RW 002;-0.039040 , 109.356272
330;61.71.02.1002;6;JL. TJ. HARAPAN RT 001 RW 002;-0.039538 , 109.356601
331;61.71.02.1002;7;JL. TJ. HARAPAN SEBELAH MASJID BAITUL AMANAH;-0.040300 , 109.357381
332;61.71.02.1002;8;JL. TANJUNG HARAPAN GG. H. SULAIMAN;-0.041101 , 109.357742
333;61.71.02.1002;9;JL. TJ. HARAPAN RT002 RW 003;-0.041296 , 109.358421
334;61.71.02.1002;10;JL. TJ. HARAPAN GG. WARAKAS;-0.042766 , 109.358219
335;61.71.02.1002;11;JL. TJ HARAPAN HALAMAN SDN 16;-0.042029 , 109.359603
336;61.71.02.1002;12;JL. TJ. HARAPAN GG. ANGGUN SARI;-0.043490 , 109.360843
337;61.71.02.1002;13;JL. TJ. HARAPAN RT 003 RW 004;-0.044089 , 109.361328
338;61.71.02.1002;14;JL. TJ. HARAPAN RT 004 RW 004;-0.045100 , 109.362186
339;61.71.02.1002;15;JL. TJ. HARAPAN GG. BANJAR SARI;-0.043072, 109.361920
340;61.71.02.1002;16;JL. TJ. HARAPAN GG. 99;-0.045789 , 109.362853
341;61.71.02.1002;17;JL. TJ. HARAPAN GG. USAMA;-0.045982 , 109.363328
342;61.71.02.1002;18;JL. TJ. HARAPAN GG. BAITUSALAM;-0.048081 , 109.364291
343;61.71.02.1002;19;JL. TJ. HARAPAN GG. SAID;-0.047066 , 109.364407
344;61.71.02.1002;20;JL. TJ. HARAPAN GG. FASTA;-0.048257 , 109.364736
345;61.71.02.1002;21;JL. TJ. TJ RAYA II GEDUNG SERBAGUNA GG. PENDIDIKAN;-0.046056 , 109.366580
346;61.71.02.1002;22;JL. TJ. TJ RAYA II GG. MITRA JAYA;-0.046102 , 109.365596
347;61.71.02.1002;23;JL. TJ. HARAPAN GG. M. TAUFIK;-0.049211 , 109.365971
348;61.71.02.1002;24;JL. TANJUNG HARAPAN HALAMAN SD N 10;-0.049487 , 109.366631
349;61.71.02.1002;25;JL. TJ. HARAPAN RT 003 RW 006;-0.050104 , 109.366760
350;61.71.02.1002;26;JL. TJ. HARAPAN RT 004 RW 006;-0.050762 , 109.367267
351;61.71.02.1002;27;JL. TJ. HARAPAN RT 005 RW 006;-0.050969 , 109.367580
352;61.71.02.1002;28;JL. TJ. HARAPAN RT 006 RW 006;-0.048578 , 109.365309
353;61.71.02.1002;29;JL. TJ. HARAPAN GG. H. UMAR ALI;-0.049535 , 109.365134
354;61.71.02.1002;30;JL. TJ. HARAPAN RT 001 RW 007;-0.052039 , 109.368334
355;61.71.02.1002;31;JL. TJ. HARAPAN RT 002 RW 007;-0.052739 , 109.368674
356;61.71.02.1002;32;JL. TJ. RAYA II GG. DELIMA MANDIRI;-0.050948 , 109.369830
357;61.71.02.1002;33;JL. TJ. RAYA II GG. M. ARIF;-0.051162 , 109.370222
358;61.71.02.1002;34;JL. TJ. HARAPAN RT 005 RW 007;-0.053013 , 109.368929
359;61.71.02.1002;35;JL. TJ. HARAPAN RT 001 RW 008;-0.053461 , 109.369135
360;61.71.02.1002;36;JL. TJ. HARAPAN RT 002 RW 008;-0.053855 , 109.369404
361;61.71.02.1002;37;JL. TJ. HARAPAN GG. MAIMUNAH;-0.053887 , 109.369549
362;61.71.02.1002;38;JL. TJ. HARAPAN POSYANDU BORNEO;-0.054091 , 109.369653
363;61.71.02.1002;39;JL. MOH. YUSUF KARIM;-0.043037 , 109.360631
364;61.71.02.1003;1;GG. KARYA I;-0.0376226 , 109.3569219
365;61.71.02.1003;2;GG. KARYA II;-0.0381586 , 109.3572607
366;61.71.02.1003;3;GG. H. SULAIMAN;-0.0405134 , 109.3583812
367;61.71.02.1003;4;RUKO SAMPING AYAM BUNGSU;-0.0392924, 109.3595753
368;61.71.02.1003;5;JL. TANI GG. TANI;-0.0381157, 109.3680965
369;61.71.02.1003;6;KOMP. BUMI CITRA SAIGON;-0.0399357 , 109.3657638
370;61.71.02.1003;7;GG. BUNGA TANJUNG;-0.0411276 , 109.3656526
371;61.71.02.1003;8;KOMP. GARDEN MAS 2;-0.0061512 , 109.34795
372;61.71.02.1003;9;GG. BUNGA TANJUNG 1;-0.04108 , 109.36537
373;61.71.02.1003;10;GG. KURNIA JAYA;-0.03741 , 109.36025
374;61.71.02.1003;11;KOMP. CENDANA PERMAI BLOK A-B;-0.048499 , 109.37198
375;61.71.02.1003;12;KOMP. CENDANA PERMAI BLOK C-D;-0.048776 , 109.372176
376;61.71.02.1003;13;GG. ARYA;-0.03827 , 109.36249
377;61.71.02.1003;14;JL. PANGLIMA AIM;-0.03354 , 109.36187
378;61.71.02.1003;15;KOMP. DELIMA MAS;-0.035790 , 109.35959
379;61.71.02.1003;16;PERMATA JAYA;-0.035790 , 109.36079
380;61.71.02.1003;17;JL. PANGLIMA AIM;-0.03205 , 109.36427
381;61.71.02.1003;18;KOMP. SAIGON PERMAI;-0.033859 , 109.36531
382;61.71.02.1003;19;KOMP. GRIYA PRATAMA;-0.05073 , 109.37070
383;61.71.02.1003;20;KOMP. GRIYA PRATAMA;-0.05106 , 109.37066
384;61.71.02.1003;21;GG. PEMUDA;-0.03221 , 109.36525
385;61.71.02.1003;22;GG. HAJI HASAN/GG. SABAR;-0.046781, 109.369451
386;61.71.02.1003;23;G. HASAN;-0.04717 , 109.36978
387;61.71.02.1003;24;GG. LIMAU;-0.047174, 109.367905
388;61.71.02.1003;25;KOMP. VILA JAYA LESTARI;-0.04633 , 109.36838
389;61.71.02.1003;26;KOMP. LATISHA TERRACE;-0.04675 , 109.37270
390;61.71.02.1003;27;KOMP. BALI LESTARI;-0.04419 , 109.36542
391;61.71.02.1003;28;KOMP. BALI LESTARI;-0.04427 , 109.36574
392;61.71.02.1003;29;GG. RIMBA;-0.03152 , 109.37640
393;61.71.02.1003;30;JL. TANI GG. HARAPAN;-0.03631 , 109.37071
394;61.71.02.1003;31;JL. PADAT KARYA GG. KELUARGA;-0.03945 , 109.36940
395;61.71.02.1003;32;KOMP. SAIGON INDAH LESTARI;-0.03681 , 109.37650
396;61.71.02.1003;33;GG. KURNIA ABADI;-0.03789 , 109.36022
397;61.71.02.1003;34;JL. PADAT KARYA KOMP. PALESTIN INDAH PERMAI;-0.04266 , 109.37731
398;61.71.02.1003;35;KOMP DIDIS PERMAI;-0.04298 , 109.37757
399;61.71.02.1003;36;JL. PADAT KARYA KOMP. NUSA PERMAI 3;-0.04113 , 109.37644
400;61.71.02.1003;37;KOMP. MITRA KELUARGA;-0.04028 , 109.37741
401;61.71.02.1003;38;KOMP GRIYA PESONA I;-0.03834 , 109.37340
402;61.71.02.1003;39;KOMP GRIYA PESONA III;-0.03770 , 109.37259
403;61.71.02.1003;40;KOMP. LAILY RAYA;-0.037720 , 109.37124
404;61.71.02.1003;41;KOMP. MULTI RESIDENCE 2;-0.03744 , 109.37665
405;61.71.02.1003;42;KOMP. PELANGI FORTUNE;-0.039161, 109.373333
406;61.71.02.1003;43;JL TANJUNG RAYA 2 KOMP CENDANA INDAH;-0.04849 , 109.37201
407;61.71.02.1003;44;JL TANJUNG RAYA 2 KOMP CENDANA INDAH;-0.04872 , 109.37219
408;61.71.02.1003;45;JL TANJUNG RAYA 2 GG H ARSYAD;-0.04333 , 109.36275
409;61.71.02.1003;46;JL TANJUNG RAYA 2 GG AL-HUDA;-0.044017 , 109.364995
410;61.71.02.1003;47;JL TANJUNG RAYA 2 GG INDAH;-0.04568 , 109.36478
411;61.71.02.1003;48;JL TANJUNG RAYA 2 GG 93 DALAM;-0.04179 , 109.36695
412;61.71.02.1003;49;JL TANJUNG RAYA 2 GG ASSUHA;-0.04467 , 109.36667
413;61.71.02.1003;50;JL TANJUNG RAYA 2 GG BAHAGIA;-0.03831 , 109.36278
414;61.71.02.1003;51;JL TANJUNG RAYA 2 GG ABDURRAHMAN;-0.04032 , 109.36155
415;61.71.02.1003;52;KOMP. PERMATA SAIGON;-0.04065 , 109.36224
416;61.71.02.1003;53;GG. H. RAZAK;-0.03941 , 109.36457
417;61.71.02.1003;54;GANG ZAINUDDIN;-0.032065, 109.373934
418;61.71.02.1003;55;JL. SUNGAI LANDAK BARAT;-0.032417, 109.373622
419;61.71.02.1003;56;KOMP. MADRASAH DARUSSALAM;-0.033359, 109.373828
420;61.71.02.1003;57;JL. TANJUNG RAYA 2 GG TAMAN SISWA;-0.04407 , 109.36841
421;61.71.02.1003;58;JL. SAMI SUMPING;-0.04503 , 109.36882
422;61.71.02.1003;59;KOMP GRAHA ZAUJATI;-0.042274, 109.376323
423;61.71.02.1003;60;KOMP SAIGON RESIDENCE;-0.04241 , 109.37251
424;61.71.02.1003;61;JL PEMDA KOMP GRAHA ZAUJATI 1 BLOK C 8;-0.0443977, 109.3737967
425;61.71.02.1003;62;GG. FAMILI;-0.037259, 109.372606
426;61.71.02.1003;63;KOMP VILLA KARYA PERDANA;-0.03762 , 109.37317
427;61.71.02.1003;64;GANG NANGKA;-0.037501, 109.374721
428;61.71.02.1003;65;KOMP. SBR 7;-0.04294 , 109.37937
429;61.71.02.1003;66;KOMP. SBR 7;-0.04294 , 109.37937
430;61.71.02.1003;67;KOMP. SBR 9;-0.04556 , 109.37614
431;61.71.02.1004;1;GG. KALIJAGA;-0.0254233 , 109.3708143
432;61.71.02.1004;2;GG. PENTAGON;-0.0265355 , 109.3718026
433;61.71.02.1004;3;GG. TJ RIA;-0.0249889 , 109.3728731
434;61.71.02.1004;4;GG. MANUNGGAL;-0.0250471 , 109.372404
435;61.71.02.1004;5;GG. TANJUNG PINANG;-0.0248442 , 109.3720547
436;61.71.02.1004;6;GG. SAE;-0.0261993 , 109.3672079
437;61.71.02.1004;7;GG. KARYA BHAKTI;-0.0270256 , 109.3668928
438;61.71.02.1004;8;GG. KARYA BHAKTI;-0.0268189 , 109.3710339
439;61.71.02.1004;9;GG. AZURA RESIDENCE;-0.027196 , 109.37032
440;61.71.02.1004;10;GG. HARAPAN, GOTONG ROYONG;-0.0265518 , 109.3678824
441;61.71.02.1004;11;GG. SUTRA, SWADAYA;-0.026799 , 109.366463
442;61.71.02.1004;12;GG. SEDERHANA, SEMPURNA;-0.026649 , 109.366264
443;61.71.02.1004;13;KOMP. VILLA TANAH MAS;-0.0271044 , 109.363142
444;61.71.02.1004;14;GG. AGATIS;-0.0273117 , 109.368936
445;61.71.02.1004;15;GG. RAMIN;-0.0291695 , 109.37032945
446;61.71.02.1004;16;SAMAN HUDI, RAMIN;-0.0286756 , 109.369522
447;61.71.02.1004;17;KOMP. AGATIS PERMAI;-0.0278172 , 109.3697662
448;61.71.02.1004;18;GG. SLILIWANGI;-0.0298007 , 109.3676308
449;61.71.02.1004;19;GG. KEBACA;-0.028876 , 109.369272
450;61.71.02.1004;20;KOMP. SERUNI INDAH;-0.030123 , 109.364722
451;61.71.02.1004;21;GG. MANDALA;-0.028934 , 109.366561
452;61.71.02.1004;22;GG. BAHARI MAS;-0.026529 , 109.365985
453;61.71.02.1004;23;GG. MANDIRI;-0.028016 , 109.365705
454;61.71.02.1004;24;GG. MANDALA;-0.028934 , 109.366561
455;61.71.02.1004;25;GG. TENGKAWANG;-0.032168 , 109.368938
456;61.71.02.1004;26;NYI AGENG SERANG;-0.031892 , 109.369321
457;61.71.02.1004;27;TENGKAWANG IV, V;-0.031870 , 109.369297
458;61.71.02.1004;28;GG. MABANG. HASYIM ASHARI;-0.030909 , 109.370093
459;61.71.02.1004;29;GG. MENTIBU;-0.032728 , 109.369848
460;61.71.02.1004;30;GG. BAKU DALAM;-0.034409 , 109.369730
461;61.71.02.1004;31;GG. JELUTUNG, JL. PAINI BARDAN;-0.034119 , 109.369573
462;61.71.02.1004;32;GG. KELADAN;-0.031535 , 109.370995
463;61.71.02.1004;33;BENUANG DALAM;-0.032207 , 109.371990
464;61.71.02.1004;34;BAMBANG ISMOYO;-0.032029 , 109.371676
465;61.71.02.1004;35;VILLA RIA INDAH;-0.028060 , 109.375010
466;61.71.02.1004;36;VILLA RIA INDAH;-0.028060 , 109.375010
467;61.71.02.1004;37;VILLA RIA INDAH;-0.028060 , 109.375010
468;61.71.02.1004;38;VILLA RIA INDAH;-0.028060 , 109.375010
469;61.71.02.1004;39;VILLA ELETRIK PERMAI;-0.028814 , 109.376179
470;61.71.02.1004;40;VILLA ELETRIK PERMAI;-0.028814 , 109.376179
471;61.71.02.1004;41;GG. BERKAH, ELIYASA, KELUARGA;-0.026157 , 109.377864
472;61.71.02.1004;42;GG. KOPERASI, MANUNGGAL;-0.025125 , 109.377190
473;61.71.02.1004;43;GG. MELATI, MAWAR;-0.026313 , 109.377265
474;61.71.02.1004;44;GG. AMANAH, WARIS, JASA RIA, SAGU;-0.027795 , 109.377723
475;61.71.02.1004;45;GG. WARIS, GRAHA MITRA PERMAI, TAHA DALAM, PERMATA ELOK;-0.027572 , 109.378729
476;61.71.02.1004;46;GG. THAHA, VILLA INTAN;-0.028889 , 109.379238
477;61.71.02.1004;47;GG. ORDE BARU, BAIDURI;-0.023195 , 109.367709
478;61.71.02.1004;48;GG. ORDE BARU, BERKAT USAHA;-0.023293 , 109.367645
479;61.71.02.1004;49;GG. SEMUT;-0.0215774 , 109.3634714
480;61.71.02.1004;50;GG. ORDE BARU;-0.023714 , 109.367488
481;61.71.02.1004;51;GG. 86;-0.023439 , 109.369544
482;61.71.02.1004;52;GG. 86;-0.023439 , 109.369544
483;61.71.02.1004;53;GG. 86;-0.023439 , 109.369544
484;61.71.02.1004;54;GG. 86;-0.023439 , 109.369544
485;61.71.02.1004;55;GG. BAKTI;-0.023947 , 109.369943
486;61.71.02.1004;56;GG. MADRASAH, BANUYMAS;-0.024617 , 109.372886
487;61.71.02.1004;57;GG. BERINGIN;-0.024347 , 109.372343
488;61.71.02.1004;58;GG. MADRASAH, NURUL BHAKTI;-0.024581 , 109.372952
489;61.71.02.1004;59;GG. NURUL BHAKTI, NURUS SALAM;-0.025011 , 109.372834
490;61.71.02.1004;60;GG. PENTAGON, NANGKA;-0.026530 , 109.373528
491;61.71.02.1004;61;GG. PENTAGON, PALEM PERMAI;-0.026334 , 109.373989
492;61.71.02.1004;62;GG. KEBACA, SILIWANGI;-0.0298718 , 109.3678434
493;61.71.02.1004;63;JL. TEKAM, GG. PUTRA TANJUNG, ABDULLAH;-0.0314730 , 109.3667118
494;61.71.02.1004;64;GG. THAHA, VILLA KOTA INTAN, PERUM BUMI CERIA LESTARI;-0.0288334 , 109.3725205
495;61.71.02.1004;65;GG. THAHA (FORTUNA, SELAT PANJANG);-0.0279976 , 109.3794473
496;61.71.02.1005;1;JL. TRITURA GG. BERKAT SABAR (DEPAN RUMAH PAK KASIMAN);-0.0246713 , 109.3592
497;61.71.02.1005;2;JL. TRITURA GG. MEGA BARU (DEPAN RUMAH PAK SARIKAN);-0.0244936 , 109.3610805
498;61.71.02.1005;3;JLN TRITURA GG. JASIMAH (DEPAN RUMAH PAK RIDWANSYAH);-0.0597804 , 109.3768315
499;61.71.02.1005;4;JLN. TRITURA SDN 21 PONTIANAK TIMUR;-0.02665 , 109.3594365
500;61.71.02.1005;5;JL.TRITURA NO.28 (GEDUNG SERBAGUNA);-0.0252228 , 109.3554239
501;61.71.02.1005;6;JL. TRITURA GG. KARYA SEPAKAT (DEPAN RUMAH PAK MADIN);-0.0301909 , 109.3674668
502;61.71.02.1005;7;JL. TRITURA GG. TRITURA (DEPAN RUMAH PAK SUMANTRI);-0.024935 , 109.36141
503;61.71.02.1005;8;JL. TRITURA GG. ANGKET (DEPAN RUMAH PAK SYAMSUDIN);-0.0236278 , 109.3522421
504;61.71.02.1005;9;JL. TRITURA GG. H. ASHARI (DEPAN RUMAH PAK DUL);-0.0244902 , 109.3553453
505;61.71.02.1005;10;Gg. DHASA DARMA (DEPAN RUMAH PAK MUSTAIN);-0.0272442 , 109.3548689
506;61.71.02.1005;11;JL. TRITURA GG. ASKOT DALAM (MIS DARUL IKHSAN);-0.028280, 109.354629
507;61.71.02.1005;12;JL. TRITURA GG. ASKOT DALAM (MIS DARUL IKHSAN);-0.028280, 109.354629
508;61.71.02.1005;13;JL TRITURA GG ASKOT DALAM POSYANDU ASTER;-0.0275727 , 109.3555316
509;61.71.02.1005;14;JL.TRITURA GG.ASKOT DALAM (HALAMAN RUMAH SURAZI);-0.0287908 , 109.3572783
510;61.71.02.1005;15;JL TRITURA GG HARMONIS DALAM (GEDUNG SERBAGUNA TK);-0.0240647 , 109.3490607
511;61.71.02.1005;16;JL TRITURA GG. H. NAIM (DEPAN RUMAH MARJIAH);-0.0237357 , 109.3518566
512;61.71.02.1005;17;JLN TRITURA GG ANGKET EKA SAPTA LAUT (LAPANGAN BULU TANGKIS);-0.023045 , 109.3513592
513;61.71.02.1005;18;JLN TRITURA GG. ANGKET (DEPAN RUMAH AGUSNAWAN);-0.0237008 , 109.3518606
514;61.71.02.1005;19;JL. TRITURA GG. ANGKET (SDN 28 PONTIANAK TIMUR);-0.022606 , 109.352537
515;61.71.02.1005;20;JLN TRITURA GG ANGKET DALAM (GEDUNG SERBAGUNA );-0.0228299 , 109.354835
516;61.71.02.1005;21;JL. TRITURA GG. KARYA SEPAKAT (DEPAN RUMAH PAK SULAIMAN);-0.0301188 , 109.3599176
517;61.71.02.1005;22;JL. TRITURA GG. ANGKET DALAM (HALAMAN TPA AL FAQIH);-0.0230857 , 109.3544675
518;61.71.02.1005;23;JL. PARELEL TOL NO. 27;-0.0284082 , 109.3610733
519;61.71.02.1005;24;JLN. TRITURA GG. MANUNGGAL NO. 1;-0.0285622 , 109.360656
520;61.71.02.1005;25;JL. TRITURA GG. ASKOT SAMPING DALAM II;-0.0273823 , 109.3549017
521;61.71.02.1005;26;JL. TRITURA GG. ASKOT SAMPING (WARUNG MAK EKA);-0.0269008 , 109.3554759
522;61.71.02.1005;27;JL. TRITURA GG. ASKOT SAMPING DALAM XI;-0.0275338 , 109.3562092
523;61.71.02.1005;28;JLN. TRITURA SDN 21 PONTIANAK TIMUR;-0.0487064 , 109.3943303
524;61.71.02.1005;29;JLN. TRITURA SDN 21 PONTIANAK TIMUR;-0.0273833 , 109.3557272
525;61.71.02.1005;30;JL TRITURA GG MIFTAHUL JANNAH;-0.0284081 , 109.3610737
526;61.71.02.1005;31;JALAN TRITURA GG 2001(DEPAN RUMAH PAK PUKARAH);-0.0260987 , 109.3564099
527;61.71.02.1005;32;JALAN TRITURA NO 09 (DEPAN RUMAH PAK MUKARROM);-0.0256352 , 109.3542855
528;61.71.02.1005;33;JL TRITURA SAMPING GG ASKOT (DEPAN RUMAH PAK USMAN/BAKOL);-0.0249755 , 109.3615532
529;61.71.02.1005;34;JLN TRITURA GG H ASHARI DALAM (SDN 14 PONTIANAK TIMUR);-0.028384 , 109.361052
530;61.71.02.1005;35;JL. TRITURA GG. H. ASHARI DALAM (HALAMAN BULU TANGKIS);-0.0284837 , 109.3539578
531;61.71.02.1005;36;JL. TRITURA GG. H. ASHARI DALAM (DEPAN RUMAH MELINA);-0.0244594 , 109.3552243
532;61.71.02.1005;37;JALAN TRITURA GG. ANGKET DALAM III (DEPAN RUMAH PAK IRFAN TIAGO);-0.0297556 , 109.3533557
533;61.71.02.1006;1;KOMPLEK KRATON KATDRIAH;-0.027983 , 109.349134
534;61.71.02.1006;2;KOMPLEK KRATON KATDRIAH;-0.027983 , 109.349134
535;61.71.02.1006;3;GG STABIL RT.01,02/RW.02;-0.026705 , 109.348924
536;61.71.02.1006;4;JL. MASJID;-0.025973 , 109.348519
537;61.71.02.1006;5;GG STABIL RT.04,05/RW.02;-0.026705 , 109.348924
538;61.71.02.1006;6;GG STABIL RT.03/RW.01 & RT.01/RW.03;-0.026703 , 109.348823
539;61.71.02.1006;7;JALAN TANJUNG RAYA 1 GANG KAMPAR;-0.0273636 , 109.353245
540;61.71.02.1006;8;RUMAH PAK RT;-0.028364 , 109.350994
541;61.71.02.1006;9;GG. TASLIM;-0.028420 , 109.351836
542;61.71.02.1006;10;GG. AL HINDUAN;-0.027759 , 109.351273
543;61.71.02.1006;11;JL GAYA BARU RT.01/RW.05;-0.030902 , 109.350818
544;61.71.02.1006;12;GG DAMAI RT.02/RW.05;-0.030743 , 109.352078
545;61.71.02.1006;13;GANG AMALIA RT.03/RW.05;-0.029392 , 109.353899
546;61.71.02.1006;14;GG AMAL;-0.029217 , 109.352922
547;61.71.02.1006;15;GG USAHA 1 RT.05/RW.05;-0.029900 , 109.351708
548;61.71.02.1006;16;SDN 07 JL TANJUNG RAYA 1;-0.029320 , 109.353885
549;61.71.02.1006;17;SDN 07 JL TANJUNG RAYA 1;-0.029320 , 109.353885
550;61.71.02.1006;18;GG KELONTAN RT.03/RW.06;-0.030921 , 109.354623
551;61.71.02.1006;19;GG MAKMUR RT.04/RW.06;-0.030969 , 109.355087
552;61.71.02.1006;20;GG DASA DHARMA DEPAN RM KARDI RT.05/RW06;-0.029840 , 109.355442
553;61.71.02.1006;21;GG USAHA KARYA RT.07/RW.06;-0.029820 , 109.353770
554;61.71.02.1006;22;SDN 07 JL TANJUNG RAYA 1;-0.029320 , 109.353885
555;61.71.02.1006;23;KAMPUNG ARAB RT.01,02/RW.07;-0.026190 , 109.351428
556;61.71.02.1006;24;KAMPUNG ARAB MISS ASSALAM RT.03,04/RW.07;-0.025826 , 109.351389
557;61.71.02.1006;25;GG IKHWAN RT.02,05/RW.07;-0.026253 , 109.352097
558;61.71.02.1006;26;SDN 13 KAMPUNG ARAB;-0.0260439 , 109.3513025
559;61.71.02.1006;27;GG H NAIM RT.03/RW.08;-0.024429 , 109.350901
560;61.71.02.1006;28;JL TRITURA GG BONE RT. 04 / RW. 05;-0.0231834 , 109.3538453
561;61.71.02.1006;29;JL TANJUN RAYA 1 GG AMALIA;-0.026911 , 109.350546
562;61.71.02.1006;30;GG. H SALEH;-0.024960 , 109.350542
563;61.71.02.1006;31;GG HARMONIS RT.01,02/RW.10 RMH YANTO;-0.026062 , 109.350477
564;61.71.02.1006;32;GG HARMONIS DEPAN SEKOLAH PAUD BINTANG;-0.025362 , 109.349833
565;61.71.02.1006;33;JL TANJUNG PULAU RT.01/RW.11 BETING;-0.0242364 , 109.3478693
566;61.71.02.1006;34;JALAN TANJUNG PULAU BETING PERMAI GG BALADEWA;-0.0240524 , 109.3477174
567;61.71.02.1006;35;JL TANJUNG PULAU RT.02,03/RW.11 BETING;-0.0239796 , 109.3481446
568;61.71.02.1006;36;TANJUNG PULAU ( GEDUNG SERBA GUNA PAK TJENG );-0.024881 , 109.348275
569;61.71.02.1006;37;JL TANJUNG PULAU RT.03/RW12 BETING;-0.0238717 , 109.3471572
